date;activity
22/09/2020;@ Office
23/09/2020;@ Office
24/09/2020;@ Office
25/09/2020;@ Office
26/09/2020;Week-end
27/09/2020;Week-end
28/09/2020;@ Office
29/09/2020;@ Office
30/09/2020;@ Office
01/10/2020;@ Office
02/10/2020;@ Office
03/10/2020;Week-end
04/10/2020;Week-end
05/10/2020;@ Office
06/10/2020;@ Office
07/10/2020;@ Office
08/10/2020;@ Office
09/10/2020;@ Office
10/10/2020;Week-end
11/10/2020;Week-end
12/10/2020;@ Office
13/10/2020;@ Office
14/10/2020;@ Office
15/10/2020;@ Office
16/10/2020;@ Office
17/10/2020;Week-end
18/10/2020;Week-end
19/10/2020;@ Office
20/10/2020;@ Office
21/10/2020;@ Office
22/10/2020;@ Office
23/10/2020;@ Office
24/10/2020;Week-end
25/10/2020;Week-end
26/10/2020;@ Office
27/10/2020;@ Office
28/10/2020;@ Office
29/10/2020;@ Office
30/10/2020;@ Office
31/10/2020;Week-end
01/11/2020;Public holiday
02/11/2020;@ Office
03/11/2020;@ Office
04/11/2020;@ Office
05/11/2020;@ Office
06/11/2020;@ Office
07/11/2020;Week-end
08/11/2020;Week-end
09/11/2020;@ Office
10/11/2020;@ Office
11/11/2020;Public holiday
12/11/2020;@ Office
13/11/2020;@ Office
14/11/2020;Week-end
15/11/2020;Week-end
16/11/2020;@ Office
17/11/2020;@ Office
18/11/2020;@ Office
19/11/2020;@ Office
20/11/2020;@ Office
21/11/2020;Week-end
22/11/2020;Week-end
23/11/2020;@ Office
24/11/2020;@ Office
25/11/2020;@ Office
26/11/2020;@ Office
27/11/2020;@ Office
28/11/2020;Week-end
29/11/2020;Week-end
30/11/2020;@ Office
01/12/2020;@ Office
02/12/2020;@ Office
03/12/2020;@ Office
04/12/2020;@ Office
05/12/2020;Week-end
06/12/2020;Week-end
07/12/2020;@ Office
08/12/2020;@ Office
09/12/2020;@ Office
10/12/2020;@ Office
11/12/2020;@ Office
12/12/2020;Week-end
13/12/2020;Week-end
14/12/2020;@ Office
15/12/2020;@ Office
16/12/2020;@ Office
17/12/2020;@ Office
18/12/2020;@ Office
19/12/2020;Week-end
20/12/2020;Week-end
21/12/2020;@ Office
22/12/2020;Leave
23/12/2020;Leave
24/12/2020;Leave
25/12/2020;Public holiday
26/12/2020;Week-end
27/12/2020;Week-end
28/12/2020;Leave
29/12/2020;Leave
30/12/2020;Leave
31/12/2020;Leave
